Filename,Compared Field,Compared Value,FBID,Difference,Absolute Difference,Prefix Match,Suffix Match,Matching Percentage
736367298_122187052370863137_310649004929107470_n.jpg,part2,122187052370863137,122187052364863137,6000000,6000000,10,6,88.89
730040883_1044751638124216_6999572941249492070_n.jpg,part2,1044751638124216,1044751634790883,3333333,3333333,9,0,56.25
482316886_2083622892062722_5239121267730876896_n.jpg,part2,2083622892062722,1687958244962524,395664647100198,395664647100198,0,0,25.00
734094184_1554753412951628_1202049426699792983_n.jpeg,part2,1554753412951628,1651227213036746,-96473800085118,96473800085118,1,0,18.75
735761283_847199014911044_8875191239744742545_n.jpeg,part2,847199014911044,1606407890849158,-759208875938114,759208875938114,0,0,0.00
711494094_2338780576649993_9094540520489979066_n.jpg,part2,2338780576649993,2338780569983327,6666666,6666666,8,0,50.00
737046518_4362719357283634_5152147560053769324_n.jpeg,part2,4362719357283634,10165179052896834,-5802459695613200,5802459695613200,0,2,25.00
735075570_1253274247859266_8637085683476496497_n.jpg,part2,1253274247859266,1253274237859267,9999999,9999999,8,0,87.50
738774379_1596992078525972_101014462766288275_n.jpeg,part2,1596992078525972,122277268142176140,-120680276063650168,120680276063650168,1,0,18.75
739040448_2318229525587743_7079922186993789751_n.jpg,part2,2318229525587743,2318229522254410,3333333,3333333,9,0,56.25
739332260_1571228751082518_7888814386977206611_n.jpeg,part2,1571228751082518,122178421004851169,-120607192253768651,120607192253768651,1,0,31.25
601855890_10240867701608525_4912567062592933502_n.jpg,part2,10240867701608525,10240867701528523,80002,80002,11,0,82.35
738283896_4447784065548665_3240383087022109647_n.jpg,part2,4447784065548665,4447784052215333,13333332,13333332,8,0,50.00
579037961_122210825282094837_6530397779867563130_n.jpg,part2,122210825282094837,122210825276094837,6000000,6000000,10,6,88.89
684292365_122226265958094837_2819965931075336856_n.jpg,part2,122226265958094837,122226265952094837,6000000,6000000,11,6,94.44
473229748_122175949562094837_9194273573562731136_n.jpg,part2,122175949562094837,122169956174094837,5993388000000,5993388000000,4,6,61.11
507102823_122195451548094837_1871193026811837067_n.jpg,part2,122195451548094837,122195451542094837,6000000,6000000,11,6,94.44
547026734_122205161654094837_4285180182819118277_n.jpg,part2,122205161654094837,122205161648094837,6000000,6000000,10,6,88.89
710613409_122229033614094837_1531753146760227767_n.jpg,part2,122229033614094837,122229033608094837,6000000,6000000,10,6,88.89
475116329_122177804396094837_8836887570060545382_n.jpg,part2,122177804396094837,122177804390094837,6000000,6000000,11,6,94.44
727845592_122230775954094837_3562182163570018604_n.png,part2,122230775954094837,122230775948094837,6000000,6000000,10,6,88.89
472941667_122175646574094837_7604768727644863505_n.jpg,part2,122175646574094837,122161054160094837,14592414000000,14592414000000,4,6,55.56
625996608_1358204213000386_4719669645036991955_n.jpg,part2,1358204213000386,1358204206333720,6666666,6666666,8,0,50.00
564598739_1264108982409910_1906683545111002322_n.jpg,part2,1264108982409910,1264108979076577,3333333,3333333,8,0,50.00
599939406_1317139643773510_743186313626466893_n.jpg,part2,1317139643773510,1317139637106844,6666666,6666666,8,0,50.00
533034125_1210744411079701_7122323837505386643_n.jpg,part2,1210744411079701,1210744407746368,3333333,3333333,8,0,50.00
564588632_1269590138528461_6326780588340440719_n.jpg,part2,1269590138528461,1269590135195128,3333333,3333333,9,0,56.25
623778657_1355983516555789_8002780490696316948_n.jpg,part2,1355983516555789,1355983509889123,6666666,6666666,8,0,50.00
622621586_1354265020060972_3089070109910345799_n.jpg,part2,1354265020060972,1354265016727639,3333333,3333333,8,0,50.00
598887880_1317428590411282_3495378733910181841_n.jpg,part2,1317428590411282,1317428587077949,3333333,3333333,8,0,50.00
557549407_1256709136483228_5811301187643716573_n.jpg,part2,1256709136483228,1256709133149895,3333333,3333333,9,0,56.25
549299633_1242059827948159_9129939120356405565_n.jpg,part2,1242059827948159,1242059824614826,3333333,3333333,9,0,56.25
605129996_1325251829628958_7500707946419639787_n.jpg,part2,1325251829628958,1325251822962292,6666666,6666666,9,0,56.25
